"","filename","Persons"
"99","1948//md000882.xml","Sternberg, Martin L.A."
"100","1948//md000882.xml","Swain, Robert L. Jr."
"101","1948//md000883.xml","na"
"102","1948//md000884.xml","na"
"103","1948//md000885.xml","na"
"104","1948//md000886.xml","Chiang, May-ling Soong, 1897-"
"105","1948//md000886.xml","Collins, Mary Catherine Love, 1882-1972"
"106","1948//md000886.xml","Isaacs, Stella, Marchioness of Reading, Baroness Swanborough"
"107","1948//md000886.xml","Morse, Wayne L. (Wayne Lyman), 1900-1974"
"108","1948//md000886.xml","Reid, Helen Rogers, 1882-1970"
"109","1948//md000886.xml","Sherwood, Robert E. (Robert Emmet), 1896-1955"
"110","1948//md000887.xml","Bethune, Mary McLeod, 1875-1955"
"111","1948//md000887.xml","Delany, Hubert T."
"112","1948//md000887.xml","Isaacs, Stella, Marchioness of Reading, Baroness Swanborough"
"113","1948//md000887.xml","Lee, Canada."
"114","1948//md000887.xml","Mary, Queen, consort of George V, King of Great Britain, 1867-1953"
"115","1948//md000887.xml","Ottley, Roi, 1906-1960"
"116","1948//md000888.xml","na"
"117","1948//md000889.xml","Isacson, Leo, 1910-1996"
"118","1948//md000889.xml","Propper, Karl"
"119","1948//md000889.xml","Wallace, Henry Agard, 1888-1965"
"120","1948//md000890.xml","Roosevelt, Franklin D. (Franklin Delano), 1882-1945"
"121","1948//md000890.xml","Taft, Robert A. (Robert Alphonso), 1889-1953"
"122","1948//md000890.xml","Truman, Harry S., 1884-1972"
"123","1948//md000891.xml","Boettiger, John, 1900-1950"
"124","1948//md000891.xml","Lee, Lucy"
"125","1948//md000891.xml","Pate, Martha B. Lucas, 1912-1983"
"126","1948//md000891.xml","Roosevelt, Elliott, 1910-1990"
"127","1948//md000892.xml","Hitler, Adolf, 1889-1945"
"128","1948//md000893.xml","Lewis, Fulton, 1903-1966"
"129","1948//md000893.xml","Truman, Harry S., 1884-1972"
"130","1948//md000893.xml","White, William Allen, 1868-1944"
"131","1948//md000893.xml","Wilson, Gilbert Brown, 1907-"
"132","1948//md000894.xml","Flynn, Edward J. (Edward Joseph), 1891-1953"
"133","1948//md000894.xml","Isacson, Leo, 1910-1996"
"134","1948//md000894.xml","Marcantonio, Vito, 1902-1954."
"135","1948//md000894.xml","Roosevelt, Franklin D. (Franklin Delano), 1882-1945"
"136","1948//md000894.xml","Wallace, Henry Agard, 1888-1965"
"137","1948//md000895.xml","Atkinson, Henry A."
